"","DateTime","count","DepDelay"
"1","2006-1-1-",105,53.1333333333333
"2","2006-1-1-1",29,104.310344827586
"3","2006-1-1-10",1147,6.40104620749782
"4","2006-1-1-11",1135,7.93039647577092
"5","2006-1-1-12",1166,9.75557461406518
"6","2006-1-1-13",1164,11.6288659793814
"7","2006-1-1-14",1166,12.778730703259
"8","2006-1-1-15",1166,13.3610634648371
"9","2006-1-1-16",1089,13.2093663911846
"10","2006-1-1-17",1232,13.1818181818182
"11","2006-1-1-18",1128,17.290780141844
"12","2006-1-1-19",1053,19.7730294396961
"13","2006-1-1-2",7,127.571428571429
"14","2006-1-1-20",853,24.0046893317702
"15","2006-1-1-21",660,27.4454545454545
"16","2006-1-1-22",360,37.6861111111111
"17","2006-1-1-23",155,51.5161290322581
"18","2006-1-1-24",2,77.5
"19","2006-1-1-3",1,187
"20","2006-1-1-4",4,-2
"21","2006-1-1-5",188,-3.16489361702128
"22","2006-1-1-6",828,0.520531400966184
"23","2006-1-1-7",913,2.11938663745893
"24","2006-1-1-8",1091,3.22639780018332
"25","2006-1-1-9",1029,6.13119533527697
"26","2006-1-1-NA",281,NA
"27","2006-1-10-",37,7.18918918918919
"28","2006-1-10-1",8,-6.625
"29","2006-1-10-10",1145,0.907423580786026
"30","2006-1-10-11",1139,1.79367866549605
"31","2006-1-10-12",1140,0.976315789473684
"32","2006-1-10-13",1151,1.37619461337967
"33","2006-1-10-14",1189,1.45164003364172
"34","2006-1-10-15",1182,1.45600676818951
"35","2006-1-10-16",1193,0.637887678122381
"36","2006-1-10-17",1299,1.60046189376443
"37","2006-1-10-18",1181,1.79170194750212
"38","2006-1-10-19",996,2.32429718875502
"39","2006-1-10-2",5,68
"40","2006-1-10-20",810,4.81604938271605
"41","2006-1-10-21",561,4.3048128342246
"42","2006-1-10-22",227,5.66960352422907
"43","2006-1-10-23",79,11.5316455696203
"44","2006-1-10-24",1,150
"45","2006-1-10-4",10,-4
"46","2006-1-10-5",342,-2.14035087719298
"47","2006-1-10-6",1270,-2.81889763779528
"48","2006-1-10-7",1205,-1.1850622406639
"49","2006-1-10-8",1298,0.0608628659476117
"50","2006-1-10-9",1087,1.14995400183993
"51","2006-1-10-NA",191,NA
"52","2006-1-11-",40,33.775
"53","2006-1-11-1",7,-8.57142857142857
"54","2006-1-11-10",1108,4.04151624548736
"55","2006-1-11-11",1168,5.6138698630137
"56","2006-1-11-12",1140,5.49035087719298
"57","2006-1-11-13",1096,6.19343065693431
"58","2006-1-11-14",1168,6.24828767123288
"59","2006-1-11-15",1151,6.5490877497828
"60","2006-1-11-16",1095,8.28858447488584
"61","2006-1-11-17",1256,10.4450636942675
"62","2006-1-11-18",1154,13.3379549393414
"63","2006-1-11-19",1011,18.6567754698318
"64","2006-1-11-2",3,47.3333333333333
"65","2006-1-11-20",834,18.2002398081535
"66","2006-1-11-21",659,21.6813353566009
"67","2006-1-11-22",285,31.8421052631579
"68","2006-1-11-23",116,51.6034482758621
"69","2006-1-11-24",3,143.333333333333
"70","2006-1-11-4",7,-7.14285714285714
"71","2006-1-11-5",345,-4.82608695652174
"72","2006-1-11-6",1214,-2.60543657331137
"73","2006-1-11-7",1190,0.153781512605042
"74","2006-1-11-8",1307,2.46442234123948
"75","2006-1-11-9",1066,3.07879924953096
"76","2006-1-11-NA",357,NA
"77","2006-1-12-",37,26.2432432432432
"78","2006-1-12-1",13,48.8461538461538
"79","2006-1-12-10",1243,2.99115044247788
"80","2006-1-12-11",1208,4.77069536423841
"81","2006-1-12-12",1218,4.45566502463054
"82","2006-1-12-13",1211,4.01816680429397
"83","2006-1-12-14",1232,3.48133116883117
"84","2006-1-12-15",1198,4.31803005008347
"85","2006-1-12-16",1213,3.68672712283594
"86","2006-1-12-17",1330,5.64135338345865
"87","2006-1-12-18",1229,5.92595606183889
"88","2006-1-12-19",1029,8.14771622934888
"89","2006-1-12-2",5,93.4
"90","2006-1-12-20",801,7.17103620474407
"91","2006-1-12-21",600,10.2183333333333
"92","2006-1-12-22",284,18.0176056338028
"93","2006-1-12-23",113,15.3451327433628
"94","2006-1-12-24",1,1
"95","2006-1-12-3",1,14
"96","2006-1-12-4",8,-0.5
"97","2006-1-12-5",302,-4.50993377483444
"98","2006-1-12-6",1266,-2.18009478672986
"99","2006-1-12-7",1187,-0.467565290648694
"100","2006-1-12-8",1321,0.961392884178653
"101","2006-1-12-9",1104,3.22010869565217
"102","2006-1-12-NA",357,NA
"103","2006-1-13-",64,58.21875
"104","2006-1-13-1",26,122.461538461538
"105","2006-1-13-10",1107,6.99728997289973
"106","2006-1-13-11",1192,11.0838926174497
"107","2006-1-13-12",1130,13.6247787610619
"108","2006-1-13-13",1076,18.0845724907063
"109","2006-1-13-14",1144,18.8531468531469
"110","2006-1-13-15",1158,25.8765112262522
"111","2006-1-13-16",1121,24.8635147190009
"112","2006-1-13-17",1156,27.0787197231834
"113","2006-1-13-18",1158,32.660621761658
"114","2006-1-13-19",1064,34.8148496240602
"115","2006-1-13-2",3,10
"116","2006-1-13-20",919,43.6887921653972
"117","2006-1-13-21",704,46.6363636363636
"118","2006-1-13-22",446,64.085201793722
"119","2006-1-13-23",228,61.3815789473684
"120","2006-1-13-24",2,77
"121","2006-1-13-27",1,452
"122","2006-1-13-3",3,255.333333333333
"123","2006-1-13-4",9,35.2222222222222
"124","2006-1-13-5",326,-7.50920245398773
"125","2006-1-13-6",1242,-1.26650563607085
"126","2006-1-13-7",1197,0.488721804511278
"127","2006-1-13-8",1305,2.94942528735632
"128","2006-1-13-9",1101,6.52497729336966
"129","2006-1-13-NA",693,NA
"130","2006-1-14-",39,32.3076923076923
"131","2006-1-14-1",12,22.9166666666667
"132","2006-1-14-10",1121,7.29259589652096
"133","2006-1-14-11",1111,7.90729072907291
"134","2006-1-14-12",1107,7.76422764227642
"135","2006-1-14-13",1075,7.90604651162791
"136","2006-1-14-14",1086,7.79742173112339
"137","2006-1-14-15",986,9.28904665314402
"138","2006-1-14-16",1020,8.30882352941176
"139","2006-1-14-17",962,7.33264033264033
"140","2006-1-14-18",951,9.35856992639327
"141","2006-1-14-19",683,15.3631039531479
"142","2006-1-14-2",1,3
"143","2006-1-14-20",519,15.6840077071291
"144","2006-1-14-21",385,13.6415584415584
"145","2006-1-14-22",217,17.0322580645161
"146","2006-1-14-23",85,16.0235294117647
"147","2006-1-14-24",1,1
"148","2006-1-14-3",1,15
"149","2006-1-14-4",4,-8
"150","2006-1-14-5",260,-3.56923076923077
"151","2006-1-14-6",1017,-1.74041297935103
"152","2006-1-14-7",982,3.16904276985743
"153","2006-1-14-8",1197,2.50793650793651
"154","2006-1-14-9",1021,5.50930460333007
"155","2006-1-14-NA",140,NA
"156","2006-1-15-",44,13.9545454545455
"157","2006-1-15-1",14,52
"158","2006-1-15-10",1160,4.15172413793103
"159","2006-1-15-11",1150,6.60347826086957
"160","2006-1-15-12",1188,7.27188552188552
"161","2006-1-15-13",1144,7.89073426573427
"162","2006-1-15-14",1228,8.76628664495114
"163","2006-1-15-15",1196,10.1923076923077
"164","2006-1-15-16",1174,8.78279386712095
"165","2006-1-15-17",1322,9.96520423600605
"166","2006-1-15-18",1158,9.97927461139896
"167","2006-1-15-19",1079,14.2446709916589
"168","2006-1-15-2",2,27.5
"169","2006-1-15-20",868,16.0610599078341
"170","2006-1-15-21",641,14.4789391575663
"171","2006-1-15-22",304,22.1776315789474
"172","2006-1-15-23",113,27.4513274336283
"173","2006-1-15-24",2,82.5
"174","2006-1-15-3",1,82
"175","2006-1-15-4",3,33.3333333333333
"176","2006-1-15-5",211,-4.87677725118483
"177","2006-1-15-6",886,-2.30812641083521
"178","2006-1-15-7",986,0.773833671399594
"179","2006-1-15-8",1111,0.95049504950495
"180","2006-1-15-9",1082,3.68299445471349
"181","2006-1-15-NA",283,NA
"182","2006-1-16-",52,79.1153846153846
"183","2006-1-16-1",18,74.6111111111111
"184","2006-1-16-10",1244,3.17604501607717
"185","2006-1-16-11",1211,4.7440132122213
"186","2006-1-16-12",1234,4.4708265802269
"187","2006-1-16-13",1187,5.05728727885425
"188","2006-1-16-14",1219,5.6636587366694
"189","2006-1-16-15",1218,6.80459770114942
"190","2006-1-16-16",1197,5.65580618212197
"191","2006-1-16-17",1302,8.27880184331797
"192","2006-1-16-18",1169,10.4730538922156
"193","2006-1-16-19",1070,11.8345794392523
"194","2006-1-16-2",3,15.6666666666667
"195","2006-1-16-20",818,14.0501222493888
"196","2006-1-16-21",592,18.7584459459459
"197","2006-1-16-22",296,29.5236486486486
"198","2006-1-16-23",151,36.2847682119205
"199","2006-1-16-3",1,15
"200","2006-1-16-4",6,1.16666666666667
"201","2006-1-16-5",325,-4.16307692307692
"202","2006-1-16-6",1272,-2.38286163522013
"203","2006-1-16-7",1242,-0.21256038647343
"204","2006-1-16-8",1339,1.5899925317401
"205","2006-1-16-9",1141,3.82033304119194
"206","2006-1-16-NA",125,NA
"207","2006-1-17-",41,44.1463414634146
"208","2006-1-17-1",11,18.4545454545455
"209","2006-1-17-10",1128,2.21985815602837
"210","2006-1-17-11",1173,2.90451832907076
"211","2006-1-17-12",1103,3.08794197642792
"212","2006-1-17-13",1101,4.75295186194369
"213","2006-1-17-14",1116,4.834229390681
"214","2006-1-17-15",1154,9.2738301559792
"215","2006-1-17-16",1108,9.58935018050541
"216","2006-1-17-17",1226,10.8605220228385
"217","2006-1-17-18",1134,16.2539682539683
"218","2006-1-17-19",1053,19.4396961063628
"219","2006-1-17-2",6,38.8333333333333
"220","2006-1-17-20",878,23.2961275626424
"221","2006-1-17-21",626,22.2507987220447
"222","2006-1-17-22",262,29.2213740458015
"223","2006-1-17-23",138,35.3333333333333
"224","2006-1-17-24",5,94.8
"225","2006-1-17-3",2,171
"226","2006-1-17-4",7,-5.28571428571429
"227","2006-1-17-5",343,-4.49271137026239
"228","2006-1-17-6",1237,-2.49474535165724
"229","2006-1-17-7",1208,-0.538079470198676
"230","2006-1-17-8",1315,1.20912547528517
"231","2006-1-17-9",1075,3.52558139534884
"232","2006-1-17-NA",281,NA
"233","2006-1-18-",36,45.3333333333333
"234","2006-1-18-1",10,18.7
"235","2006-1-18-10",1063,7.94261523988711
"236","2006-1-18-11",1105,10.3095022624434
"237","2006-1-18-12",1062,9.14030131826742
"238","2006-1-18-13",1109,12.5067628494139
"239","2006-1-18-14",1161,10.9552110249785
"240","2006-1-18-15",1185,11.2514767932489
"241","2006-1-18-16",1124,12.1485765124555
"242","2006-1-18-17",1272,10.1077044025157
"243","2006-1-18-18",1173,12.1099744245524
"244","2006-1-18-19",1042,14.6353166986564
"245","2006-1-18-2",4,61.75
"246","2006-1-18-20",854,15.367681498829
"247","2006-1-18-21",627,19.6315789473684
"248","2006-1-18-22",250,18.048
"249","2006-1-18-23",104,31.5192307692308
"250","2006-1-18-24",1,70
"251","2006-1-18-4",7,-6.71428571428571
"252","2006-1-18-5",319,-4.85266457680251
"253","2006-1-18-6",1229,-2.30593978844589
"254","2006-1-18-7",1110,0.431531531531532
"255","2006-1-18-8",1222,3.72504091653028
"256","2006-1-18-9",1037,5.47444551591128
"257","2006-1-18-NA",665,NA
"258","2006-1-19-",38,22.6315789473684
"259","2006-1-19-1",15,22
"260","2006-1-19-10",1242,1.60386473429952
"261","2006-1-19-11",1227,2.42461287693562
"262","2006-1-19-12",1198,1.93405676126878
"263","2006-1-19-13",1166,2.70583190394511
"264","2006-1-19-14",1232,3.74837662337662
"265","2006-1-19-15",1214,5.57331136738056
"266","2006-1-19-16",1198,4.67195325542571
"267","2006-1-19-17",1309,6.08097784568373
"268","2006-1-19-18",1236,7.80258899676375
"269","2006-1-19-19",1083,7.99261311172669
"270","2006-1-19-2",3,45.3333333333333
"271","2006-1-19-20",828,9.41425120772947
"272","2006-1-19-21",601,8.36272878535774
"273","2006-1-19-22",283,13.7985865724382
"274","2006-1-19-23",100,7.08
"275","2006-1-19-24",1,25
"276","2006-1-19-3",1,8
"277","2006-1-19-4",8,13.375
"278","2006-1-19-5",337,-5.05637982195846
"279","2006-1-19-6",1296,-3.02623456790123
"280","2006-1-19-7",1223,-0.6778413736713
"281","2006-1-19-8",1356,-0.386430678466077
"282","2006-1-19-9",1132,0.534452296819788
"283","2006-1-19-NA",170,NA
"284","2006-1-2-",165,106.739393939394
"285","2006-1-2-1",77,147.142857142857
"286","2006-1-2-10",1083,14.477377654663
"287","2006-1-2-11",1107,21.7633242999097
"288","2006-1-2-12",1089,29.3314967860422
"289","2006-1-2-13",1160,36.2120689655172
"290","2006-1-2-14",1131,37.3987621573828
"291","2006-1-2-15",1109,45.0856627592426
"292","2006-1-2-16",1128,45.1152482269504
"293","2006-1-2-17",1149,43.289817232376
"294","2006-1-2-18",1086,53.4438305709024
"295","2006-1-2-19",1118,60.2209302325581
"296","2006-1-2-2",18,170.833333333333
"297","2006-1-2-20",987,70.2431610942249
"298","2006-1-2-21",828,73.8900966183575
"299","2006-1-2-22",560,91.975
"300","2006-1-2-23",316,128.645569620253
"301","2006-1-2-24",17,110.176470588235
"302","2006-1-2-25",8,187.625
"303","2006-1-2-3",6,312.833333333333
"304","2006-1-2-4",5,185
"305","2006-1-2-5",250,-2.552
"306","2006-1-2-6",1229,1.25223759153784
"307","2006-1-2-7",1220,4.66311475409836
"308","2006-1-2-8",1365,8.43003663003663
"309","2006-1-2-9",1058,10.9461247637051
"310","2006-1-2-NA",812,NA
"311","2006-1-20-",62,83.7258064516129
"312","2006-1-20-1",18,55.3888888888889
"313","2006-1-20-10",1232,1.15503246753247
"314","2006-1-20-11",1246,2.26805778491172
"315","2006-1-20-12",1192,2.6006711409396
"316","2006-1-20-13",1169,2.75876817792985
"317","2006-1-20-14",1214,4.05436573311367
"318","2006-1-20-15",1185,5.79409282700422
"319","2006-1-20-16",1168,5.51198630136986
"320","2006-1-20-17",1280,6.946875
"321","2006-1-20-18",1167,9.044558697515
"322","2006-1-20-19",1033,10.6001936108422
"323","2006-1-20-2",6,93.1666666666667
"324","2006-1-20-20",768,8.984375
"325","2006-1-20-21",585,11.9452991452991
"326","2006-1-20-22",290,19.6896551724138
"327","2006-1-20-23",138,47.6014492753623
"328","2006-1-20-24",1,20
"329","2006-1-20-4",9,-6.44444444444444
"330","2006-1-20-5",350,-4.68285714285714
"331","2006-1-20-6",1305,-2.43295019157088
"332","2006-1-20-7",1244,-1.40032154340836
"333","2006-1-20-8",1332,-0.352102102102102
"334","2006-1-20-9",1169,0.108639863130881
"335","2006-1-20-NA",411,NA
"336","2006-1-21-",40,12.25
"337","2006-1-21-1",11,16.8181818181818
"338","2006-1-21-10",1117,4.17994628469114
"339","2006-1-21-11",1137,6.38610378188215
"340","2006-1-21-12",1082,4.96025878003697
"341","2006-1-21-13",1085,5.9705069124424
"342","2006-1-21-14",1070,4.94859813084112
"343","2006-1-21-15",1002,5.47205588822355
"344","2006-1-21-16",983,3.84231943031536
"345","2006-1-21-17",1030,5.63883495145631
"346","2006-1-21-18",925,4.65297297297297
"347","2006-1-21-19",664,7.95783132530121
"348","2006-1-21-2",6,31.6666666666667
"349","2006-1-21-20",498,6.95783132530121
"350","2006-1-21-21",392,6.31122448979592
"351","2006-1-21-22",181,6.92265193370166
"352","2006-1-21-23",86,19.2093023255814
"353","2006-1-21-4",4,-9
"354","2006-1-21-5",278,-4.58992805755396
"355","2006-1-21-6",1015,-2.40788177339901
"356","2006-1-21-7",977,-0.287615148413511
"357","2006-1-21-8",1185,1.07172995780591
"358","2006-1-21-9",1006,3.61729622266402
"359","2006-1-21-NA",209,NA
"360","2006-1-22-",72,74.6111111111111
"361","2006-1-22-1",47,140.744680851064
"362","2006-1-22-10",1076,8.0232342007435
"363","2006-1-22-11",1150,11.6617391304348
"364","2006-1-22-12",1177,11.8496176720476
"365","2006-1-22-13",1147,13.489102005231
"366","2006-1-22-14",1163,13.5907136715391
"367","2006-1-22-15",1157,17.6456352636128
"368","2006-1-22-16",1164,18.8840206185567
"369","2006-1-22-17",1253,16.9664804469274
"370","2006-1-22-18",1118,23.4669051878354
"371","2006-1-22-19",1096,27.9762773722628
"372","2006-1-22-2",9,160.888888888889
"373","2006-1-22-20",883,31.4337485843715
"374","2006-1-22-21",697,39.1578192252511
"375","2006-1-22-22",358,56.3100558659218
"376","2006-1-22-23",171,66.812865497076
"377","2006-1-22-24",9,82.5555555555556
"378","2006-1-22-25",1,145
"379","2006-1-22-4",4,-5.5
"380","2006-1-22-5",219,-4.42465753424658
"381","2006-1-22-6",877,-1.39794754846066
"382","2006-1-22-7",962,0.483367983367983
"383","2006-1-22-8",1099,0.635122838944495
"384","2006-1-22-9",1009,4.45094152626363
"385","2006-1-22-NA",431,NA
"386","2006-1-23-",58,73.7758620689655
"387","2006-1-23-1",14,26.6428571428571
"388","2006-1-23-10",1135,10.6361233480176
"389","2006-1-23-11",1152,13.3064236111111
"390","2006-1-23-12",1158,17.1977547495682
"391","2006-1-23-13",1165,16.2111587982833
"392","2006-1-23-14",1171,15.5567890691716
"393","2006-1-23-15",1163,18.8469475494411
"394","2006-1-23-16",1180,16.4254237288136
